deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date,date_logic_error,deal_duration_days
D0001,C0302,U008,78611.9,Closed Won,closed,2025-11-28,2026-03-02,False,94.0
D0002,C0355,U013,10632.0,,open,2025-11-23,,False,
D0003,C0022,U010,10346.37,Closed Won,lost,,2026-06-19,False,
D0004,C0111,U008,65990.58,Closed Won,lost,,,False,
D0005,C0052,U005,11191.79,Closed Won,open,,,False,
D0006,C0397,U004,30583.07,Closed Lost,,,,False,
D0007,C0151,U001,72406.53,Prospecting,open,2025-11-20,,False,
D0008,C0375,U004,47584.51,Closed Lost,open,2026-09-06,,False,
D0009,C0205,U011,54979.99,Qualified,open,,,False,
D0010,C0099,U008,60345.0,Closed Won,lost,2025-12-10,2025-12-13,False,3.0
D0011,C0093,U006,11015.24,Negotiation,won,,2026-04-14,False,
D0012,C0198,U010,72100.74,Prospecting,lost,,2026-06-04,False,
D0013,C0043,U011,21420.82,Qualified,lost,2026-03-02,,False,
D0014,C0301,U003,42136.96,Closed Won,lost,2026-03-10,,False,
D0015,C0145,U003,53220.73,Qualified,lost,2026-04-06,,False,
D0016,C0283,U009,42559.11,Closed Lost,lost,2026-03-23,,False,
D0017,C0402,U013,24450.22,Proposal Sent,won,,,False,
D0018,C0277,U009,23868.72,Prospecting,open,,,False,
D0019,C0021,U013,84146.27,Closed Lost,closed,2026-06-13,,False,
D0020,C0226,U005,73751.75,Closed Won,open,2026-05-31,2026-07-29,False,59.0
D0021,C0348,U006,52948.63,Closed Won,open,2025-11-27,,False,
D0022,C0268,U005,28525.08,,open,,,False,
D0023,C0259,U011,81891.46,Prospecting,open,,,False,
D0024,C0063,U012,60901.47,Qualified,won,,2026-06-07,False,
D0025,C0319,U005,7805.61,Closed Won,lost,2026-05-01,2026-06-03,False,33.0
D0026,C0351,U006,50093.29,Closed Lost,,2025-12-21,,False,
D0027,C0321,U011,34709.27,Closed Won,open,2026-01-05,2026-11-07,False,306.0
D0028,C0170,U009,67323.36,Qualified,,2026-04-19,,False,
D0029,C0397,U014,79108.0,Closed Lost,open,2025-02-11,,False,
D0030,C0444,U011,74514.35,Negotiation,open,,,False,
D0031,C0188,U011,34594.52,Qualified,open,2026-02-28,,False,
D0032,C0046,U012,19320.67,Prospecting,open,,,False,
D0033,C0005,U001,84010.93,Negotiation,open,2026-05-07,,False,
D0034,C0045,U012,27664.85,Prospecting,open,2026-02-10,,False,
D0035,C0342,U003,48534.82,Prospecting,closed,,,False,
D0036,C0317,U012,58828.28,Qualified,lost,2026-01-09,,False,
D0037,C0297,U012,27761.06,Closed Won,lost,2026-02-13,2026-04-11,False,57.0
D0038,C0303,U012,72298.99,Negotiation,open,,,False,
D0039,C0094,U012,6056.52,Closed Won,won,,,False,
D0040,C0251,U011,75708.5,Prospecting,closed,,,False,
D0041,C0434,U014,58525.66,Closed Won,lost,2026-02-26,,False,
D0042,C0034,U001,78535.37,Proposal Sent,won,,2026-03-10,False,
D0043,C0388,U007,54984.86,Closed Won,lost,2025-11-27,2025-12-10,False,13.0
D0044,C0102,U013,28783.65,Qualified,closed,2026-03-18,,False,
D0045,C0220,U012,21914.06,Proposal Sent,open,,,False,
D0046,C0156,U011,2557.53,Qualified,open,,,False,
D0047,C0175,U009,32551.1,Closed Lost,won,2026-05-02,,False,
D0048,C0169,U013,6833.31,Closed Won,won,2026-05-16,2026-07-25,False,70.0
D0049,C0182,U001,14635.38,Closed Lost,open,2025-12-17,2026-02-05,False,50.0
D0050,C0002,U001,40892.34,Prospecting,won,2026-06-27,,False,
D0051,C0112,U006,24150.04,Proposal Sent,lost,,,False,
D0052,C0089,U004,81165.63,Closed Lost,open,,,False,
D0053,C0157,U006,39638.31,Prospecting,closed,,,False,
D0054,C0122,U008,62660.69,Closed Won,,2025-11-27,,False,
D0055,C0207,U001,30426.38,Proposal Sent,closed,,,False,
D0056,C0332,U007,18633.73,Negotiation,open,2025-11-19,,False,
D0057,C0071,U012,5166.0,Proposal Sent,open,,,False,
D0058,C0188,U008,43703.22,Prospecting,open,,,False,
D0059,C0219,U011,23292.74,Qualified,won,,,False,
D0060,C0117,U002,66624.74,Proposal Sent,open,2025-11-07,,False,
D0061,C0158,U007,31417.0,Prospecting,closed,,,False,
D0062,C0060,U002,4867.54,Qualified,won,2026-02-26,,False,
D0063,C0200,U009,69977.0,Prospecting,won,2026-04-05,2026-06-09,False,65.0
D0064,C0125,U002,11641.35,Closed Lost,open,2025-11-02,,False,
D0065,C0188,U011,3320.32,Prospecting,won,2026-04-01,,False,
D0066,C0427,U014,5065.14,Negotiation,open,,,False,
D0067,C0366,U007,58548.0,Closed Lost,open,2026-04-11,,False,
D0068,C0445,U003,26141.28,Prospecting,won,2026-05-11,,False,
D0069,C0069,U007,22303.84,Proposal Sent,closed,2025-11-10,,False,
D0070,C0396,U012,66749.83,Closed Won,,,,False,
D0071,C0013,U006,76296.36,Proposal Sent,open,,,False,
D0072,C0267,U006,9861.22,Proposal Sent,open,2026-01-30,,False,
D0073,C0110,U010,16204.38,Closed Won,lost,,,False,
D0074,C0356,U012,80688.77,Closed Won,open,,,False,
D0075,C0247,U001,20924.0,Prospecting,open,2026-01-04,,False,
D0076,C0310,U004,78218.2,Qualified,lost,2026-02-26,,False,
D0077,C0392,U002,32694.83,Closed Lost,lost,2026-05-03,,False,
D0078,C0068,U003,55707.0,Closed Won,,,,False,
D0079,C0112,U011,,Qualified,lost,2026-01-21,2026-03-04,False,42.0
D0080,C0198,U014,51799.45,Prospecting,open,2026-04-15,,False,
D0081,C0052,U008,21372.66,Qualified,lost,2026-01-23,2026-04-02,False,69.0
D0082,C0225,U001,59380.2,Proposal Sent,won,2026-01-16,,False,
D0083,C0221,U012,75360.09,Closed Won,open,,,False,
D0084,C0418,U008,39182.5,Proposal Sent,open,,,False,
D0085,C0131,U002,75642.0,Prospecting,lost,,,False,
D0086,C0171,U010,80194.0,Closed Lost,open,2026-03-29,,False,
D0087,C0167,U004,61790.18,Proposal Sent,lost,,,False,
D0088,C0025,U007,14324.76,,,,,False,
D0089,C0316,U010,3649.0,Closed Lost,won,2026-05-15,,False,
D0090,C0155,U013,,Closed Won,,2025-01-11,,False,
D0091,C0187,U003,,Closed Lost,open,,,False,
D0092,C0381,U012,57289.79,Prospecting,open,,,False,
D0093,C0031,U014,82129.91,Closed Won,closed,,,False,
D0094,C0151,U002,49196.86,Closed Won,open,,,False,
D0095,C0086,U003,5063.44,Proposal Sent,won,2025-11-06,,False,
D0096,C0421,U010,8766.79,Proposal Sent,lost,,,False,
