date,daily_revenue,transaction_count,signup_rate
2026-01-01,10596.06,481,56
2026-01-02,9834.08,493,43
2026-01-03,10777.23,456,61
2026-01-04,11827.64,452,39
2026-01-05,9719.02,533,55
2026-01-06,9719.04,554,68
2026-01-07,11895.06,497,42
2026-01-08,10920.92,540,45
2026-01-09,9436.63,514,51
2026-01-10,10651.07,474,46
2026-01-11,9443.9,514,38
2026-01-12,9441.12,562,51
2026-01-13,10290.35,499,42
2026-01-14,7704.06,563,54
2026-01-15,2000.0,50,43
2026-01-16,9325.25,533,62
2026-01-17,8784.6,503,44
2026-01-18,10377.1,488,47
2026-01-19,8910.37,504,57
2026-01-20,8305.24,420,40
2026-01-21,11758.78,491,52
2026-01-22,9729.07,514,60
2026-01-23,10081.03,559,37
2026-01-24,8290.3,479,51
2026-01-25,9346.74,468,52
2026-01-26,10133.11,480,56
2026-01-27,8618.81,537,40
2026-01-28,10450.84,513,39
2026-01-29,9279.23,479,54
2026-01-30,9649.97,521,52
2026-01-31,9277.95,504,52
2026-02-01,42500.0,539,53
2026-02-02,9983.8,472,45
2026-02-03,8730.75,487,52
2026-02-04,10987.05,484,52
2026-02-05,8534.99,441,44
2026-02-06,10250.64,512,65
2026-02-07,7648.4,510,54
2026-02-08,8406.18,500,40
2026-02-09,10236.23,491,55
2026-02-10,10886.16,443,42
2026-02-11,10205.64,483,56
2026-02-12,9861.22,486,59
2026-02-13,9638.68,468,43
2026-02-14,8225.77,494,850
2026-02-15,9136.19,516,53
2026-02-16,9447.23,575,57
2026-02-17,11268.55,507,65
2026-02-18,10412.34,510,48
2026-02-19,7884.35,497,44
2026-02-20,10388.9,423,43
2026-02-21,3200.0,499,43
2026-02-22,9187.69,502,49
2026-02-23,10734.01,599,53
2026-02-24,11237.2,492,52
2026-02-25,11117.54,512,57
2026-02-26,8992.94,499,50
2026-02-27,9628.95,453,62
2026-02-28,10397.52,546,48
2026-03-01,11170.65,530,72
