transaction_id,timestamp,status,payment_method,customer_type,region,device_type,error_message,amount
TXN-100000,2026-01-08 00:00:00,success,credit_card,SMB,US,web,None,154.46
TXN-100001,2026-01-08 00:01:00,success,bank_transfer,Startup,US,web,None,66.75
TXN-100002,2026-01-08 00:02:00,success,debit_card,SMB,LATAM,web,None,361.83
TXN-100003,2026-01-08 00:03:00,success,debit_card,Startup,APAC,web,None,20.24
TXN-100004,2026-01-08 00:04:00,success,credit_card,SMB,EU,mobile_android,None,485.12
TXN-100005,2026-01-08 00:05:00,success,credit_card,SMB,APAC,web,None,333.84
TXN-100006,2026-01-08 00:06:00,success,credit_card,SMB,APAC,mobile_ios,None,485.44
TXN-100007,2026-01-08 00:07:00,success,crypto,Startup,LATAM,web,None,40.55
TXN-100008,2026-01-08 00:08:00,success,debit_card,SMB,US,web,None,108.45
TXN-100009,2026-01-08 00:09:00,success,debit_card,Startup,EU,mobile_ios,None,69.2
TXN-100010,2026-01-08 00:10:00,success,credit_card,Startup,US,mobile_android,None,97.83
TXN-100011,2026-01-08 00:11:00,success,bank_transfer,Enterprise,LATAM,mobile_android,None,632.61
TXN-100012,2026-01-08 00:12:00,success,crypto,Enterprise,LATAM,mobile_ios,None,2289.14
TXN-100013,2026-01-08 00:13:00,success,credit_card,Enterprise,APAC,web,None,636.15
TXN-100014,2026-01-08 00:14:00,success,credit_card,SMB,EU,web,None,315.03
TXN-100015,2026-01-08 00:15:00,success,credit_card,Enterprise,EU,mobile_ios,None,1494.99
TXN-100016,2026-01-08 00:16:00,success,credit_card,Startup,US,web,None,85.41
TXN-100017,2026-01-08 00:17:00,failed,credit_card,Enterprise,US,web,User cancelled,751.69
TXN-100018,2026-01-08 00:18:00,success,credit_card,SMB,EU,web,None,233.89
TXN-100019,2026-01-08 00:19:00,success,credit_card,Enterprise,US,mobile_ios,None,531.57
TXN-100020,2026-01-08 00:20:00,success,debit_card,Startup,LATAM,web,None,79.6
TXN-100021,2026-01-08 00:21:00,success,credit_card,SMB,US,mobile_ios,None,416.27
TXN-100022,2026-01-08 00:22:00,success,credit_card,Startup,LATAM,mobile_ios,None,31.45
TXN-100023,2026-01-08 00:23:00,success,credit_card,Startup,EU,web,None,45.53
TXN-100024,2026-01-08 00:24:00,success,credit_card,SMB,US,web,None,262.95
TXN-100025,2026-01-08 00:25:00,success,debit_card,SMB,US,mobile_ios,None,479.41
TXN-100026,2026-01-08 00:26:00,success,credit_card,Enterprise,LATAM,mobile_android,None,2110.25
TXN-100027,2026-01-08 00:27:00,success,credit_card,SMB,APAC,web,None,103.48
TXN-100028,2026-01-08 00:28:00,success,debit_card,Startup,US,web,None,80.67
TXN-100029,2026-01-08 00:29:00,success,credit_card,Enterprise,US,web,None,1616.66
TXN-100030,2026-01-08 00:30:00,success,debit_card,Enterprise,EU,mobile_android,None,2414.44
TXN-100031,2026-01-08 00:31:00,success,credit_card,SMB,US,mobile_ios,None,229.81
TXN-100032,2026-01-08 00:32:00,success,credit_card,SMB,US,mobile_ios,None,268.3
