customer_id,customer_type,lifetime_value,churn,support_tickets,retention_days
CUST_5521,Startups,1930.65,0,2,212.7
CUST_5737,Startups,1755.18,0,3,163.0
CUST_5740,Startups,1004.15,0,2,265.6
CUST_5660,Startups,1687.06,0,0,257.0
CUST_5411,SMB,9550.88,0,4,246.3
CUST_5678,Startups,1335.92,0,2,251.3
CUST_5626,Startups,2984.21,0,3,191.7
CUST_5513,Startups,1701.53,0,3,238.7
CUST_5859,Startups,2292.55,0,3,61.4
CUST_5136,SMB,11709.91,0,6,321.8
CUST_5811,Startups,1041.45,0,3,170.1
CUST_5076,SMB,7055.16,0,7,261.6
CUST_5636,Startups,2688.26,0,2,88.6
CUST_5973,Startups,3292.12,0,3,104.9
CUST_5938,Startups,3240.31,0,2,189.0
CUST_5899,Startups,2305.03,1,5,76.4
CUST_5280,SMB,5304.33,0,1,235.5
CUST_5883,Startups,2169.1,0,4,226.2
CUST_5761,Startups,1376.14,0,3,298.4
CUST_5319,SMB,11642.01,0,3,242.0
CUST_5549,Startups,2084.45,0,3,145.1
CUST_5174,SMB,6152.25,0,1,241.4
CUST_5371,SMB,6893.74,0,6,460.1
CUST_5527,Startups,3488.66,0,5,141.4
CUST_5210,SMB,9859.84,0,5,255.9
CUST_5235,SMB,10630.53,1,8,234.1
CUST_5101,SMB,9897.95,0,4,221.0
CUST_5986,Startups,1853.47,0,1,271.0
CUST_5902,Startups,1112.93,0,4,126.0
CUST_5947,Startups,3128.34,0,2,65.4
CUST_5346,SMB,11622.19,0,2,197.5
CUST_5139,SMB,5579.11,0,3,411.4
CUST_5621,Startups,2224.25,0,2,195.2
CUST_5499,Startups,2281.85,0,4,106.1
CUST_5370,SMB,10337.73,1,4,479.7
CUST_5198,SMB,6375.04,0,5,202.3
CUST_5687,Startups,3398.02,0,3,186.9
CUST_5584,Startups,3293.34,0,1,146.4
CUST_5901,Startups,1648.6,1,1,231.7
CUST_5059,SMB,5801.71,0,5,221.6
CUST_5328,SMB,9430.42,0,6,369.9
CUST_5096,SMB,7532.69,0,2,301.9
CUST_5312,SMB,6627.99,0,5,220.6
CUST_5974,Startups,1803.83,0,3,148.4
CUST_5299,SMB,9497.38,0,3,193.9
CUST_5277,SMB,8531.68,1,7,431.2
CUST_5924,Startups,1413.28,0,5,196.6
CUST_5601,Startups,2903.58,0,3,216.8
CUST_5439,SMB,9410.08,0,5,178.5
CUST_5837,Startups,3458.54,0,2,198.9
CUST_5570,Startups,1846.14,0,2,162.1
CUST_5879,Startups,2452.47,0,2,289.4
CUST_5261,SMB,10772.65,0,3,415.2
CUST_5578,Startups,3125.69,0,3,97.1
CUST_5023,Enterprise,173587.27,0,0,982.0
CUST_5030,Enterprise,164685.73,0,2,1077.1
CUST_5617,Startups,1866.23,0,6,227.2
CUST_5010,Enterprise,142247.88,0,0,1034.4
CUST_5221,SMB,8420.09,0,2,355.5
CUST_5820,Startups,1126.3,0,3,92.6
CUST_5296,SMB,11856.99,1,2,328.3
CUST_5054,SMB,9936.16,0,9,458.4
CUST_5542,Startups,3097.67,0,3,111.6
CUST_5209,SMB,8544.31,0,5,499.8
CUST_5604,Startups,3408.03,0,1,240.3
CUST_5692,Startups,1587.74,0,4,60.3
CUST_5662,Startups,1468.98,0,3,248.6
CUST_5866,Startups,3163.93,0,5,225.6
CUST_5070,SMB,6502.09,0,2,246.5
CUST_5543,Startups,3475.8,0,4,87.0
CUST_5107,SMB,6905.69,0,8,424.0
CUST_5493,Startups,1790.54,0,4,249.1
CUST_5590,Startups,3318.65,0,4,238.9
CUST_5741,Startups,1280.18,0,3,93.7
CUST_5292,SMB,11473.89,0,5,188.0
CUST_5289,SMB,5711.7,0,5,187.0
CUST_5652,Startups,2679.03,0,4,203.4
CUST_5039,Enterprise,160188.84,0,2,897.5
CUST_5589,Startups,1062.06,0,1,256.1
CUST_5307,SMB,9476.94,0,3,299.8
CUST_5679,Startups,1913.45,0,4,261.2
CUST_5066,SMB,8914.45,0,4,380.5
CUST_5275,SMB,7755.41,0,2,392.5
CUST_5067,SMB,7127.65,0,6,413.6
CUST_5318,SMB,7078.14,0,6,427.4
CUST_5548,Startups,2888.33,0,4,186.8
CUST_5998,Startups,3483.42,0,4,134.7
CUST_5714,Startups,2968.97,0,0,60.2
CUST_5753,Startups,2199.66,0,6,229.9
CUST_5327,SMB,8729.06,0,4,268.7
CUST_5382,SMB,10462.11,0,2,402.6
CUST_5451,Startups,3210.36,0,2,174.2
CUST_5522,Startups,1384.03,0,3,296.0
CUST_5218,SMB,11492.94,0,7,307.0
CUST_5787,Startups,1796.0,0,0,75.0
CUST_5436,SMB,5874.47,0,9,422.1
CUST_5764,Startups,3297.06,0,3,254.2
CUST_5088,SMB,6128.9,0,3,218.1
CUST_5063,SMB,10354.99,0,3,312.0
CUST_5826,Startups,2489.28,0,1,243.7
CUST_5716,Startups,2405.43,0,1,110.4
CUST_5351,SMB,6199.04,0,5,316.9
CUST_5936,Startups,3353.85,0,2,264.8
CUST_5256,SMB,10715.98,0,1,375.8
CUST_5635,Startups,1273.21,0,4,292.1
CUST_5644,Startups,2554.74,0,8,145.6
CUST_5554,Startups,1111.62,0,3,223.4
CUST_5959,Startups,2324.36,0,0,241.6
CUST_5168,SMB,7219.97,0,2,490.9
CUST_5917,Startups,1344.48,0,2,149.7
CUST_5528,Startups,2930.26,0,2,204.3
CUST_5823,Startups,2659.05,0,2,97.5
CUST_5985,Startups,3301.66,0,3,218.3
CUST_5816,Startups,3200.95,0,1,91.3
CUST_5086,SMB,10056.52,0,5,150.8
CUST_5432,SMB,9886.85,1,3,309.4
CUST_5184,SMB,10404.09,0,6,470.2
CUST_5978,Startups,2329.72,0,5,215.1
CUST_5534,Startups,1026.82,1,3,298.9
CUST_5294,SMB,10905.02,0,4,400.3
CUST_5892,Startups,1608.99,0,3,101.7
CUST_5425,SMB,10610.37,0,8,276.7
CUST_5713,Startups,3256.38,0,2,275.9
CUST_5260,SMB,6023.21,1,4,305.2
CUST_5237,SMB,10493.34,0,4,177.5
CUST_5559,Startups,2233.22,0,3,180.0
CUST_5583,Startups,1996.38,0,1,287.4
CUST_5445,SMB,9969.33,0,1,356.9
CUST_5867,Startups,2995.24,0,5,145.6
CUST_5800,Startups,2846.45,0,4,151.9
CUST_5599,Startups,2550.89,0,5,272.6
CUST_5849,Startups,3403.87,0,5,160.2
CUST_5265,SMB,6158.72,0,2,360.6
CUST_5995,Startups,2094.97,0,6,127.2
CUST_5529,Startups,1777.4,0,3,79.1
CUST_5055,SMB,10465.1,0,4,168.1
