order_id,customer_id,order_amount,order_date
ORD_10001,CUST_0172,313.48,2025-01-01 00:00:00
ORD_10002,CUST_0769,552.13,2025-01-01 01:00:00
ORD_10003,CUST_ORPHAN_831,589.27,2025-01-01 02:00:00
ORD_10004,CUST_0141,106.3,2025-01-01 03:00:00
ORD_10005,CUST_0844,20.02,2025-01-01 04:00:00
ORD_10006,CUST_0399,539.86,2025-01-01 05:00:00
ORD_10007,CUST_0592,280.32,2025-01-01 06:00:00
ORD_10008,CUST_0145,205.77,2025-01-01 07:00:00
ORD_10009,CUST_ORPHAN_338,29.42,2025-01-01 08:00:00
ORD_10010,CUST_0177,414.42,2025-01-01 09:00:00
ORD_10011,CUST_0309,641.34,2025-01-01 10:00:00
ORD_10012,CUST_0423,719.07,2025-01-01 11:00:00
ORD_10013,CUST_0280,432.99,2025-01-01 12:00:00
ORD_10014,CUST_0085,395.56,2025-01-01 13:00:00
ORD_10015,CUST_ORPHAN_355,82.09,2025-01-01 14:00:00
ORD_10016,CUST_0280,420.68,2025-01-01 15:00:00
ORD_10017,CUST_0340,297.38,2025-01-01 16:00:00
ORD_10018,CUST_0625,463.21,2025-01-01 17:00:00
ORD_10019,CUST_0311,303.77,2025-01-01 18:00:00
ORD_10020,CUST_0705,195.42,2025-01-01 19:00:00
ORD_10021,CUST_0748,89.32,2025-01-01 20:00:00
ORD_10022,CUST_0585,249.89,2025-01-01 21:00:00
ORD_10023,CUST_0824,90.55,2025-01-01 22:00:00
ORD_10024,CUST_ORPHAN_601,149.13,2025-01-01 23:00:00
ORD_10025,CUST_0405,740.76,2025-01-02 00:00:00
ORD_10026,CUST_0546,344.2,2025-01-02 01:00:00
ORD_10027,CUST_0326,408.27,2025-01-02 02:00:00
ORD_10028,CUST_0206,657.74,2025-01-02 03:00:00
ORD_10029,CUST_0339,746.77,2025-01-02 04:00:00
ORD_10030,CUST_0635,445.38,2025-01-02 05:00:00
ORD_10031,CUST_ORPHAN_381,613.11,2025-01-02 06:00:00
ORD_10032,CUST_0427,258.67,2025-01-02 07:00:00
ORD_10033,CUST_0725,243.19,2025-01-02 08:00:00
ORD_10034,CUST_ORPHAN_617,313.97,2025-01-02 09:00:00
ORD_10035,CUST_0102,510.93,2025-01-02 10:00:00
ORD_10036,CUST_0081,518.0,2025-01-02 11:00:00
ORD_10037,CUST_0004,250.12,2025-01-02 12:00:00
ORD_10038,CUST_ORPHAN_244,117.24,2025-01-02 13:00:00
ORD_10039,CUST_0402,481.65,2025-01-02 14:00:00
ORD_10040,CUST_0555,113.68,2025-01-02 15:00:00
ORD_10041,CUST_0057,442.3,2025-01-02 16:00:00
ORD_10042,CUST_0069,526.2,2025-01-02 17:00:00
ORD_10043,CUST_0535,531.45,2025-01-02 18:00:00
ORD_10044,CUST_0005,570.03,2025-01-02 19:00:00
ORD_10045,CUST_0837,657.19,2025-01-02 20:00:00
ORD_10046,CUST_0664,384.97,2025-01-02 21:00:00
ORD_10047,CUST_0676,553.08,2025-01-02 22:00:00
ORD_10048,CUST_0046,472.0,2025-01-02 23:00:00
ORD_10049,CUST_0338,156.25,2025-01-03 00:00:00
ORD_10050,CUST_ORPHAN_218,38.75,2025-01-03 01:00:00
ORD_10051,CUST_0813,227.72,2025-01-03 02:00:00
ORD_10052,CUST_0006,343.41,2025-01-03 03:00:00
ORD_10053,CUST_0418,470.49,2025-01-03 04:00:00
ORD_10054,CUST_0815,640.47,2025-01-03 05:00:00
ORD_10055,CUST_ORPHAN_831,163.26,2025-01-03 06:00:00
ORD_10056,CUST_0838,111.65,2025-01-03 07:00:00
ORD_10057,CUST_0570,723.34,2025-01-03 08:00:00
ORD_10058,CUST_0213,98.87,2025-01-03 09:00:00
ORD_10059,CUST_0502,369.3,2025-01-03 10:00:00
ORD_10060,CUST_0452,447.46,2025-01-03 11:00:00
ORD_10061,CUST_0310,415.2,2025-01-03 12:00:00
ORD_10062,CUST_0206,82.8,2025-01-03 13:00:00
ORD_10063,CUST_0219,61.63,2025-01-03 14:00:00
