deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date
D0001,C0302,U008,78611.9,closed won,closed,2025-11-28,03-02-2026
D0002,C0355,U013,10632 USD,,Open,11/23/2025,
D0003,C0022,U010,"$10,346.37",closed won,lost,2026/04/22,2026/06/19
D0004,C0111,U008,65990.58,Closed Won,Lost,02-02-2026,05/04/2026
D0005,C0052,U005,11191.79,Won,Open,21-04-2026,
D0006,C0397,U004,"$30,583.07",Lost,,25/06/2026,
D0007,C0151,U001,72406.53,Prospecting,open,11/20/2025,N/A
D0008,C0375,U004,47584.51,Lost,OPEN,09/06/2026,
D0009,C0205,U011,54979.99,qualified,OPEN,,
D0010,C0099,U008,60345 USD,Won,Lost,2025-12-10,2025/12/13
D0011,C0093,U006,11015.24,negotiation ,won,12-02-2026,2026/04/14
D0012,C0198,U010,72100.74,Prospecting,lost,17-04-2026,2026/06/04
D0013,C0043,U011,"$21,420.82",Qualified,lost,03/02/2026,20/03/2026
D0014,C0301,U003,42136.96,closed won,Lost,03/10/2026,05/04/2026
D0015,C0145,U003,53220.73,qualified,lost,04/06/2026,03/08/2026
D0016,C0283,U009,42559.11,closed-lost,Lost,03/23/2026,2026-06-21
D0017,C0402,U013,24450.22,proposal sent,Won,28/04/2026,05/05/2026
D0018,C0277,U009,23868.72,Prospecting,Open,2026/05/02,
D0019,C0021,U013,"$84,146.27",Closed Lost,closed,06/13/2026,2026-07-13
D0020,C0226,U005,"$73,751.75",Closed Won,Open,05/31/2026,2026/07/29
D0021,C0348,U006,52948.63,Won,OPEN,2025-11-27,
D0022,C0268,U005,28525.08,,OPEN,19-03-2026,N/A
D0023,C0259,U011,81891.46,Prospecting,OPEN,13-05-2026,
D0024,C0063,U012,60901.47,Qualified,won,17/05/2026,2026/06/07
D0025,C0319,U005,7805.61,Won,Lost,05/01/2026,06-03-2026
D0026,C0351,U006,50093.29,Closed Lost,,2025-12-21,03/02/2026
D0027,C0321,U011,34709.27,Closed Won,Open,01/05/2026,11-07-2026
D0028,C0170,U009,67323.36,Qualified,,2026-04-19,
D0029,C0397,U014,79108 USD,Closed Lost,open,02/11/2025,11/20/2025
D0030,C0444,U011,74514.35,Negotiation,OPEN,11-12-2025,
D0031,C0188,U011,34594.52,qualified,open,02/28/2026,
D0032,C0046,U012,"$19,320.67",Prospecting,open,2025/11/24,
D0033,C0005,U001,84010.93,negotiation ,Open,2026-05-07,
D0034,C0045,U012,27664.85,Prospecting,Open,02/10/2026,
D0035,C0342,U003,48534.82,PROSPECT,closed,09-02-2026,
D0036,C0317,U012,58828.28,Qualified,Lost,2026-01-09,2026-03-31
D0037,C0297,U012,"$27,761.06",closed won,lost,2026-02-13,2026/04/11
D0038,C0303,U012,72298.99,Negotiation,open,2025/12/13,
D0039,C0094,U012,6056.52,closed won,Won,15/12/2025,03/10/2026
D0040,C0251,U011,"$75,708.50",PROSPECT,closed,03-12-2025,
D0041,C0434,U014,58525.66,Won,lost,2026-02-26,
D0042,C0034,U001,78535.37,Proposal Sent,won,02-03-2026,2026/03/10
D0043,C0388,U007,54984.86,Won,Lost,2025-11-27,2025/12/10
D0044,C0102,U013,28783.65,Qualified,closed,2026-03-18,
D0045,C0220,U012,21914.06,proposal sent,open,2025/12/22,
D0046,C0156,U011,"$2,557.53",qualified,Open,,
D0047,C0175,U009,32551.1,Lost,Won,2026-05-02,2026-05-26
D0048,C0169,U013,6833.31,Won,Won,2026-05-16,2026/07/25
D0049,C0182,U001,14635.38,closed-lost,OPEN,2025-12-17,2026/02/05
D0050,C0002,U001,40892.34,Prospect,won,2026-06-27,05/07/2026
D0051,C0112,U006,"$24,150.04",proposal sent,Lost,2026/05/31,2026-07-13
D0052,C0089,U004,"$81,165.63",Lost,open,15-02-2026,
D0053,C0157,U006,39638.31,PROSPECT,closed,10-06-2026,
D0054,C0122,U008,62660.69,Closed Won,,11/27/2025,
D0055,C0207,U001,30426.38,proposal sent,closed,04-04-2026,
D0056,C0332,U007,18633.73,Negotiation,Open,2025-11-19,N/A
D0057,C0071,U012,5166 USD,Proposal Sent,Open,21/11/2025,
D0058,C0188,U008,43703.22,PROSPECT,Open,2025/11/30,
D0059,C0219,U011,23292.74,Qualified,won,16-11-2025,26-12-2025
D0060,C0117,U002,66624.74,Proposal,OPEN,11/07/2025,
D0061,C0158,U007,31417.0,Prospecting,closed,27/12/2025,
D0062,C0060,U002,4867.54,qualified,Won,2026-02-26,17-05-2026
D0063,C0200,U009,69977 USD,prospect,Won,04/05/2026,2026/06/09
D0064,C0125,U002,"$11,641.35",Closed Lost,Open,11/02/2025,22/11/2025
D0065,C0188,U011,"$3,320.32",PROSPECT,Won,04/01/2026,2026-01-16
D0066,C0427,U014,5065.14,negotiation ,Open,2026/06/21,
D0067,C0366,U007,58548 USD,closed-lost,open,04/11/2026,01/06/2026
D0068,C0445,U003,26141.28,prospect,won,2026-05-11,04/08/2026
D0069,C0069,U007,22303.84,Proposal,closed,2025-11-10,N/A
D0070,C0396,U012,66749.83,Closed Won,,21-12-2025,03/03/2026
D0071,C0013,U006,76296.36,proposal sent,open,N/A,N/A
D0072,C0267,U006,9861.22,proposal sent,OPEN,2026-01-30,
D0073,C0110,U010,16204.38,closed won,lost,07-03-2026,2026-04-01
D0074,C0356,U012,80688.77,Closed Won,OPEN,22/06/2026,09/05/2026
D0075,C0247,U001,20924 USD,PROSPECT,open,2026-01-04,
D0076,C0310,U004,78218.2,Qualified,lost,2026-02-26,03/23/2026
D0077,C0392,U002,32694.83,Lost,lost,2026-05-03,15-05-2026
D0078,C0068,U003,55707 USD,Won,,2026/03/27,
D0079,C0112,U011,,qualified,Lost,2026-01-21,2026/03/04
D0080,C0198,U014,51799.45,prospect,OPEN,04/15/2026,
D0081,C0052,U008,21372.66,Qualified,lost,2026-01-23,04-02-2026
D0082,C0225,U001,59380.2,Proposal Sent,won,2026-01-16,
D0083,C0221,U012,75360.09,Won,OPEN,2025/12/28,
D0084,C0418,U008,39182.5,proposal sent,OPEN,,
D0085,C0131,U002,75642 USD,PROSPECT,lost,N/A,2026-03-01
D0086,C0171,U010,80194 USD,closed-lost,open,03/29/2026,N/A
D0087,C0167,U004,61790.18,Proposal,Lost,25-06-2026,2026-09-06
D0088,C0025,U007,14324.76,,,01-06-2026,
D0089,C0316,U010,3649 USD,closed-lost,won,2026-05-15,2026-05-30
D0090,C0155,U013,,closed won,,01/11/2025,05/01/2026
D0091,C0187,U003,,Closed Lost,open,2026/05/31,N/A
D0092,C0381,U012,57289.79,Prospecting,Open,2026/02/06,
D0093,C0031,U014,82129.91,closed won,closed,2026/05/22,17/07/2026
