customer_id,date,segment,revenue,support_response_hours,churn_risk
1103,2024-01-01,Mid-Market,4532.41,4.2,Low
1436,2024-01-02,Mid-Market,1931.02,0.5,Low
1349,2024-01-03,SMB,995.23,2.3,Low
1271,2024-01-04,SMB,1525.71,1.5,Low
1107,2024-01-05,Mid-Market,2421.99,1.4,Low
1072,2024-01-06,SMB,4181.07,18.1,High
1189,2024-01-07,Enterprise,4373.29,2.5,High
1021,2024-01-08,Mid-Market,531.28,11.1,Low
1103,2024-01-09,Enterprise,2798.36,5.0,Medium
1122,2024-01-10,Enterprise,2378.35,7.9,Low
1467,2024-01-11,Mid-Market,1499.49,3.5,High
1215,2024-01-12,SMB,1039.39,4.3,High
1331,2024-01-13,Enterprise,2019.27,3.4,Medium
1459,2024-01-14,Mid-Market,4743.09,1.1,High
1088,2024-01-15,Enterprise,1954.41,6.4,Low
1373,2024-01-16,Enterprise,2834.56,1.6,Medium
1100,2024-01-17,Enterprise,3663.59,0.1,Low
1360,2024-01-18,Enterprise,2136.33,5.2,Low
1152,2024-01-19,SMB,4873.02,1.0,Medium
1131,2024-01-20,Enterprise,4831.01,14.1,Low
1150,2024-01-21,Enterprise,1633.02,15.4,High
1309,2024-01-22,Enterprise,2737.62,12.3,Low
1258,2024-01-23,SMB,1853.95,2.3,Medium
1344,2024-01-24,Enterprise,1781.78,0.1,Medium
1492,2024-01-25,Enterprise,665.99,13.2,Medium
1414,2024-01-26,SMB,3243.04,2.8,Low
1294,2024-01-27,SMB,2762.06,17.0,Medium
1386,2024-01-28,SMB,731.65,16.6,Medium
1192,2024-01-29,Enterprise,1753.91,9.6,Low
1444,2024-01-30,SMB,4587.2,1.7,High
1277,2024-01-31,SMB,1578.03,2.4,Low
1161,2024-02-01,Enterprise,1152.03,9.5,Medium
1460,2024-02-02,SMB,2702.54,1.9,Medium
1314,2024-02-03,Enterprise,4935.43,0.9,Low
1022,2024-02-04,Mid-Market,1589.25,4.1,High
1253,2024-02-05,SMB,3524.61,13.8,Medium
1236,2024-02-06,Mid-Market,3927.29,6.0,Medium
1345,2024-02-07,Enterprise,1569.37,4.2,Medium
1049,2024-02-08,SMB,3776.97,0.5,Low
1475,2024-02-09,Enterprise,2155.02,4.8,Medium
1059,2024-02-10,Mid-Market,3345.38,23.1,High
1170,2024-02-11,Enterprise,3350.88,0.8,Medium
1476,2024-02-12,SMB,2910.99,3.7,Medium
1188,2024-02-13,SMB,906.3,10.5,High
1464,2024-02-14,Mid-Market,4258.86,6.8,Medium
1271,2024-02-15,Enterprise,1943.51,6.0,Low
1190,2024-02-16,SMB,1339.33,6.1,Low
1446,2024-02-17,Mid-Market,683.49,2.2,Low
1175,2024-02-18,SMB,3159.02,1.7,High
1446,2024-02-19,SMB,3549.04,8.3,Medium
1051,2024-02-20,Enterprise,574.65,8.3,Low
1364,2024-02-21,SMB,2804.42,10.1,High
1055,2024-02-22,Enterprise,1519.23,12.2,Medium
1244,2024-02-23,SMB,3403.28,3.6,High
1320,2024-02-24,Mid-Market,1284.65,3.5,Low
1131,2024-02-25,SMB,3609.22,8.0,Low
1485,2024-02-26,Enterprise,2240.31,5.2,Low
1307,2024-02-27,Enterprise,4715.28,6.1,High
1135,2024-02-28,Mid-Market,1118.84,7.9,High
1021,2024-02-29,SMB,2034.8,11.0,Low
1329,2024-03-01,SMB,1010.63,2.1,High
1167,2024-03-02,Mid-Market,4661.12,2.4,Low
1274,2024-03-03,SMB,4448.03,0.5,Low
1388,2024-03-04,SMB,1660.74,4.3,Medium
1089,2024-03-05,Enterprise,3469.93,0.2,High
1316,2024-03-06,SMB,4177.5,3.1,Low
1014,2024-03-07,SMB,2998.4,3.9,Low
1242,2024-03-08,Mid-Market,2883.43,1.7,High
1265,2024-03-09,Mid-Market,1588.34,4.5,Medium
1346,2024-03-10,Enterprise,918.96,0.2,Medium
1053,2024-03-11,SMB,4537.47,0.2,Low
1386,2024-03-12,SMB,4551.88,8.6,High
1340,2024-03-13,SMB,3348.96,2.2,Medium
1092,2024-03-14,Enterprise,2025.63,0.7,High
1367,2024-03-15,Enterprise,2071.44,3.7,High
1444,2024-03-16,Mid-Market,3766.8,7.3,Low
1455,2024-03-17,Enterprise,4537.0,1.2,Medium
1428,2024-03-18,SMB,4491.89,4.9,Low
1264,2024-03-19,SMB,4009.44,0.4,Medium
1431,2024-03-20,Enterprise,3389.14,0.3,Medium
1035,2024-03-21,SMB,878.63,3.8,Medium
1206,2024-03-22,SMB,1227.33,3.9,Medium
1081,2024-03-23,Enterprise,4543.49,5.1,Medium
1420,2024-03-24,Enterprise,3228.93,6.5,High
1050,2024-03-25,SMB,541.39,18.6,Low
1360,2024-03-26,SMB,956.62,3.6,High
1388,2024-03-27,SMB,3485.76,2.0,Medium
1002,2024-03-28,Mid-Market,522.78,7.9,Low
1390,2024-03-29,Mid-Market,1223.64,1.6,Medium
1054,2024-03-30,Mid-Market,2969.3,2.9,Low
1106,2024-03-31,Enterprise,3613.53,0.4,High
1260,2024-04-01,Mid-Market,3433.83,0.1,Low
1310,2024-04-02,Enterprise,1509.21,16.4,Low
1477,2024-04-03,Enterprise,3704.81,9.0,Low
1191,2024-04-04,Mid-Market,1567.62,6.0,Low
1402,2024-04-05,Mid-Market,1964.3,2.6,Low
1218,2024-04-06,Mid-Market,3859.21,1.0,Medium
1044,2024-04-07,SMB,3423.35,0.9,Low
1162,2024-04-08,Mid-Market,4321.51,1.4,Low
1202,2024-04-09,SMB,3459.26,4.0,High
