signup_date,signups,email_verified,first_purchase,conversion_pct
2026-08-10,3,3,1,33.3
2026-08-09,5,4,3,60.0
2026-08-08,5,4,1,20.0
2026-08-07,3,3,0,0.0
2026-08-06,7,5,4,57.1
2026-08-05,8,6,2,25.0
2026-08-04,2,1,0,0.0
2026-08-03,3,2,0,0.0
2026-08-02,5,4,1,20.0
2026-08-01,6,4,1,16.7
2026-07-31,4,3,0,0.0
2026-07-30,3,3,1,33.3
2026-07-29,4,4,3,75.0
2026-07-28,5,3,0,0.0
2026-07-27,5,3,1,20.0
2026-07-26,5,5,2,40.0
2026-07-25,5,3,0,0.0
2026-07-24,2,1,0,0.0
2026-07-23,4,4,1,25.0
2026-07-22,2,2,2,100.0
2026-07-21,2,2,0,0.0
2026-07-20,5,3,0,0.0
2026-07-19,4,3,0,0.0
2026-07-18,4,4,1,25.0
2026-07-17,2,1,1,50.0
2026-07-16,1,1,0,0.0
2026-07-15,2,1,0,0.0
2026-07-14,5,4,1,20.0
2026-07-13,6,6,3,50.0
2026-07-12,5,4,4,80.0
2026-07-11,2,2,0,0.0
2026-07-10,1,1,0,0.0
2026-07-09,3,1,1,33.3
2026-07-08,2,2,1,50.0
2026-07-07,2,1,1,50.0
2026-07-04,5,5,2,40.0
2026-07-03,2,1,1,50.0
2026-07-02,3,3,1,33.3
2026-07-01,5,3,1,20.0
2026-06-30,4,4,3,75.0
2026-06-29,5,5,3,60.0
2026-06-28,3,1,0,0.0
2026-06-27,5,4,1,20.0
2026-06-26,1,1,0,0.0
2026-06-25,1,0,0,0.0
2026-06-24,1,1,0,0.0
2026-06-23,2,2,0,0.0
2026-06-22,3,3,1,33.3
2026-06-21,5,3,2,40.0
2026-06-20,2,2,0,0.0
2026-06-19,1,0,0,0.0
2026-06-18,5,4,0,0.0
2026-06-17,4,4,1,25.0
2026-06-16,1,1,1,100.0
2026-06-15,2,2,0,0.0
2026-06-14,3,2,0,0.0
2026-06-13,2,2,1,50.0
2026-06-12,5,3,1,20.0
2026-06-11,4,3,0,0.0
2026-06-10,4,4,3,75.0
2026-06-09,4,2,2,50.0
2026-06-08,5,2,1,20.0
2026-06-07,5,1,2,40.0
2026-06-06,2,1,1,50.0
2026-06-05,4,2,1,25.0
2026-06-04,3,3,1,33.3
2026-06-03,3,3,2,66.7
2026-06-02,3,3,1,33.3
2026-06-01,3,3,1,33.3
2026-05-31,4,3,3,75.0
2026-05-30,9,8,3,33.3
2026-05-29,4,3,1,25.0
2026-05-28,2,1,0,0.0
2026-05-27,4,3,1,25.0
2026-05-26,2,2,1,50.0
2026-05-25,5,4,3,60.0
2026-05-24,1,1,1,100.0
2026-05-23,4,4,1,25.0
2026-05-22,4,2,1,25.0
2026-05-21,3,3,0,0.0
2026-05-20,5,4,3,60.0
2026-05-19,3,2,1,33.3
2026-05-18,4,2,1,25.0
2026-05-17,3,2,2,66.7
2026-05-16,3,1,1,33.3
2026-05-15,5,2,1,20.0
2026-05-14,4,4,1,25.0
2026-05-13,3,1,2,66.7
