customer_id,segment,revenue,last_activity,churn_risk
CUST-1000,Mid-Market,5604.63,2024-01-01,Medium
CUST-1001,Starter,45176.37,2024-01-01,Low
CUST-1002,SMB,25509.99,2024-01-02,Low
CUST-1003,SMB,41409.64,2024-01-03,Low
CUST-1004,Mid-Market,16342.46,2024-01-04,Low
CUST-1005,Mid-Market,44828.4,2024-01-05,Medium
CUST-1006,Enterprise,19765.48,2024-01-06,High
CUST-1007,Starter,1036.46,2024-01-07,High
CUST-1008,SMB,45316.41,2024-01-08,Low
CUST-1009,SMB,5018.69,2024-01-09,Low
CUST-1010,Enterprise,16306.03,2024-01-10,High
CUST-1011,Starter,47528.07,2024-01-11,Medium
CUST-1012,Starter,47555.05,2024-01-11,Low
CUST-1013,Mid-Market,28885.18,2024-01-12,High
CUST-1014,Mid-Market,31775.94,2024-01-13,Medium
CUST-1015,Mid-Market,22698.05,2024-01-14,Low
CUST-1016,Mid-Market,15013.93,2024-01-15,Low
CUST-1017,SMB,16768.89,2024-01-16,Low
CUST-1018,Mid-Market,33789.66,2024-01-17,Low
CUST-1019,Mid-Market,37742.54,2024-01-18,Low
CUST-1020,SMB,39683.16,2024-01-19,Medium
CUST-1021,Enterprise,39586.1,2024-01-20,Low
CUST-1022,Mid-Market,5014.7,2024-01-21,Low
CUST-1023,Mid-Market,24973.81,2024-01-22,Low
CUST-1024,SMB,3349.16,2024-01-22,Low
CUST-1025,SMB,27701.68,2024-01-23,High
CUST-1026,Mid-Market,22355.76,2024-01-24,Low
CUST-1027,SMB,44441.36,2024-01-25,Low
CUST-1028,SMB,17870.29,2024-01-26,Medium
CUST-1029,Enterprise,6294.82,2024-01-27,Low
CUST-1030,SMB,7578.09,2024-01-28,Low
CUST-1031,Mid-Market,38194.78,2024-01-29,Low
CUST-1032,Enterprise,31101.79,2024-01-30,Low
CUST-1033,Starter,5505.57,2024-01-31,Low
CUST-1034,Starter,4663.29,2024-02-01,Low
CUST-1035,Starter,35197.97,2024-02-02,Low
CUST-1036,Mid-Market,4101.77,2024-02-02,High
CUST-1037,Enterprise,41182.07,2024-02-03,Low
CUST-1038,SMB,35458.99,2024-02-04,Low
CUST-1039,Mid-Market,4526.76,2024-02-05,Low
CUST-1040,Enterprise,4699.47,2024-02-06,Low
CUST-1041,SMB,49338.66,2024-02-07,Low
CUST-1042,Enterprise,19026.4,2024-02-08,Low
CUST-1043,Starter,18846.79,2024-02-09,High
CUST-1044,Mid-Market,40733.58,2024-02-10,Low
CUST-1045,SMB,47388.8,2024-02-11,Low
CUST-1046,Mid-Market,49307.05,2024-02-12,Low
CUST-1047,SMB,37792.22,2024-02-12,High
CUST-1048,SMB,19124.85,2024-02-13,Low
CUST-1049,Mid-Market,4633.29,2024-02-14,Low
CUST-1050,Starter,38968.77,2024-02-15,Low
CUST-1051,SMB,28141.01,2024-02-16,Medium
CUST-1052,Starter,21498.99,2024-02-17,Low
CUST-1053,Starter,45364.54,2024-02-18,Medium
CUST-1054,SMB,6004.28,2024-02-19,Low
CUST-1055,Starter,24884.94,2024-02-20,Low
CUST-1056,Enterprise,1062.01,2024-02-21,Low
CUST-1057,Mid-Market,23698.7,2024-02-22,Low
CUST-1058,Enterprise,3287.01,2024-02-23,Low
CUST-1059,Mid-Market,6381.49,2024-02-23,Low
CUST-1060,Mid-Market,6317.55,2024-02-24,Medium
CUST-1061,Mid-Market,32635.91,2024-02-25,Low
CUST-1062,Starter,37429.22,2024-02-26,Low
CUST-1063,Mid-Market,29376.75,2024-02-27,Low
CUST-1064,Mid-Market,48127.54,2024-02-28,Low
CUST-1065,SMB,19056.09,2024-02-29,Low
CUST-1066,Enterprise,14642.75,2024-03-01,Low
CUST-1067,Starter,43495.66,2024-03-02,Low
CUST-1068,Enterprise,11567.99,2024-03-03,Medium
CUST-1069,Starter,48179.52,2024-03-04,High
CUST-1070,SMB,1101.65,2024-03-05,Low
CUST-1071,Mid-Market,48509.0,2024-03-05,Low
CUST-1072,Enterprise,2636.42,2024-03-06,Low
CUST-1073,Starter,44611.58,2024-03-07,Low
CUST-1074,SMB,26621.2,2024-03-08,Low
CUST-1075,SMB,49651.76,2024-03-09,Low
CUST-1076,SMB,4152.93,2024-03-10,Medium
CUST-1077,Enterprise,27915.79,2024-03-11,Low
CUST-1078,Mid-Market,48480.48,2024-03-12,Low
CUST-1079,Enterprise,26393.34,2024-03-13,Low
CUST-1080,Starter,31655.23,2024-03-14,Low
CUST-1081,SMB,34939.56,2024-03-15,Low
CUST-1082,Mid-Market,22999.78,2024-03-16,Low
CUST-1083,Enterprise,31564.12,2024-03-16,Low
CUST-1084,Mid-Market,29423.56,2024-03-17,Medium
CUST-1085,Mid-Market,45107.32,2024-03-18,Low
CUST-1086,SMB,2749.6,2024-03-19,Low
CUST-1087,SMB,14407.68,2024-03-20,Low
CUST-1088,Starter,47545.37,2024-03-21,Low
CUST-1089,SMB,44568.06,2024-03-22,Low
CUST-1090,Enterprise,23055.01,2024-03-23,Medium
CUST-1091,SMB,31196.56,2024-03-24,Medium
CUST-1092,SMB,14230.37,2024-03-25,Medium
CUST-1093,SMB,9812.0,2024-03-26,Low
CUST-1094,SMB,23453.07,2024-03-26,Low
CUST-1095,SMB,17990.94,2024-03-27,Low
CUST-1096,SMB,29390.98,2024-03-28,Low
CUST-1097,Mid-Market,4347.86,2024-03-29,Medium
CUST-1098,Enterprise,48732.54,2024-03-30,Low
CUST-1099,Enterprise,49317.43,2024-03-31,Low
CUST-1100,Enterprise,35059.0,2024-04-01,Low
CUST-1101,SMB,27036.77,2024-04-02,Low
CUST-1102,Mid-Market,15821.62,2024-04-03,Low
CUST-1103,SMB,40782.85,2024-04-04,Low
CUST-1104,Starter,34394.19,2024-04-05,Low
CUST-1105,Mid-Market,8549.54,2024-04-06,Medium
CUST-1106,Mid-Market,45590.9,2024-04-06,Medium
CUST-1107,SMB,41215.59,2024-04-07,Low
CUST-1108,Mid-Market,47515.1,2024-04-08,Low
CUST-1109,Enterprise,36423.12,2024-04-09,Low
CUST-1110,Mid-Market,30864.05,2024-04-10,Low
CUST-1111,Mid-Market,21203.03,2024-04-11,Low
CUST-1112,Starter,46670.06,2024-04-12,Low
CUST-1113,Starter,43370.16,2024-04-13,Low
CUST-1114,SMB,2738.32,2024-04-14,Low
CUST-1115,Starter,1805.17,2024-04-15,Low
CUST-1116,Starter,19134.94,2024-04-16,Low
CUST-1117,Mid-Market,40622.39,2024-04-17,High
CUST-1118,Starter,49370.17,2024-04-17,Medium
CUST-1119,SMB,7945.64,2024-04-18,Low
CUST-1120,Starter,29909.47,2024-04-19,Medium
CUST-1121,Starter,19354.1,2024-04-20,Low
CUST-1122,Mid-Market,48510.76,2024-04-21,Medium
CUST-1123,Enterprise,42184.89,2024-04-22,Medium
CUST-1124,Mid-Market,41997.27,2024-04-23,Low
CUST-1125,Mid-Market,23700.31,2024-04-24,Low
CUST-1126,Starter,21033.57,2024-04-25,Low
CUST-1127,Starter,14033.65,2024-04-26,Low
CUST-1128,Enterprise,3290.59,2024-04-27,Low
CUST-1129,SMB,43303.76,2024-04-28,Low
CUST-1130,Mid-Market,40738.6,2024-04-28,Low
CUST-1131,Mid-Market,49986.02,2024-04-29,Medium
CUST-1132,Enterprise,49833.52,2024-04-30,High
CUST-1133,Mid-Market,27993.87,2024-05-01,Low
CUST-1134,Starter,38564.88,2024-05-02,Low
CUST-1135,Mid-Market,47265.9,2024-05-03,Low
CUST-1136,SMB,42557.55,2024-05-04,Low
CUST-1137,SMB,12743.73,2024-05-05,High
CUST-1138,Mid-Market,22801.93,2024-05-06,Low
CUST-1139,Starter,6893.39,2024-05-07,Low
CUST-1140,Starter,47725.53,2024-05-08,Low
