customer_id,transaction_count,annual_revenue,avg_order_value,first_purchase,last_purchase
2007,8,276603.41,34575.43,2025-09-18,2026-08-05
2009,5,260802.88,52160.58,2026-03-06,2026-07-30
2004,5,225280.76,45056.15,2025-01-26,2026-08-08
2025,5,216809.21,43361.84,2025-08-17,2026-07-25
2022,7,204555.22,29222.17,2026-04-08,2026-07-25
2016,5,191852.82,38370.56,2026-02-18,2026-07-23
2034,8,57371.6,7171.45,2026-03-05,2026-07-13
2066,11,50670.56,4606.41,2026-02-09,2026-08-11
2168,8,47439.99,5930.0,2025-05-04,2026-07-28
2152,7,47249.92,6749.99,2025-12-20,2026-07-29
2116,7,37961.63,5423.09,2025-10-04,2026-07-30
2061,7,37575.89,5367.98,2025-05-05,2026-07-14
2043,7,37218.38,5316.91,2025-12-31,2026-07-16
2150,6,36248.55,6041.42,2026-04-25,2026-07-24
2166,6,36013.27,6002.21,2026-04-30,2026-07-19
2145,6,35385.6,5897.6,2026-03-04,2026-07-10
2042,7,34738.99,4962.71,2026-02-26,2026-07-23
2119,6,34130.45,5688.41,2026-03-17,2026-08-07
2160,8,33974.33,4246.79,2025-11-20,2026-08-05
2131,6,30510.01,5085.0,2025-08-16,2026-07-27
2161,5,29458.56,5891.71,2026-04-09,2026-07-28
2092,6,29072.59,4845.43,2025-08-04,2026-08-03
2075,5,28640.94,5728.19,2025-07-12,2026-08-11
2139,5,25777.31,5155.46,2025-06-04,2026-07-17
2100,5,25522.71,5104.54,2026-06-03,2026-08-06
2068,5,25265.19,5053.04,2026-06-05,2026-08-07
2041,5,24763.54,4952.71,2026-02-28,2026-08-05
2086,5,24390.95,4878.19,2025-12-07,2026-08-08
2054,6,24068.27,4011.38,2025-06-24,2026-07-02
2117,5,23530.95,4706.19,2026-06-09,2026-07-29
2095,5,23387.55,4677.51,2026-05-14,2026-07-12
2097,5,21979.4,4395.88,2026-05-04,2026-08-08
2180,5,21882.56,4376.51,2025-02-26,2026-07-25
2171,6,19104.99,3184.16,2025-02-06,2026-08-09
2063,5,18863.01,3772.6,2026-04-23,2026-08-05
2050,5,18798.27,3759.65,2025-12-27,2026-07-29
2036,6,14770.7,2461.78,2026-03-06,2026-08-06
2389,7,8947.38,1278.2,2025-11-04,2026-07-13
2237,7,8578.03,1225.43,2025-11-14,2026-07-22
2354,6,8141.87,1356.98,2025-07-12,2026-08-09
2342,9,8008.72,889.86,2025-03-10,2026-07-31
2397,6,7630.81,1271.8,2025-01-16,2026-08-07
2226,6,7616.74,1269.46,2026-03-22,2026-07-17
2243,8,7593.2,949.15,2026-01-02,2026-08-11
2181,7,7385.0,1055.0,2026-01-26,2026-06-08
2185,7,7163.91,1023.42,2025-03-26,2026-08-10
2372,7,7130.04,1018.58,2025-01-15,2026-08-06
2201,7,7062.59,1008.94,2026-01-02,2026-07-19
2264,5,7005.09,1401.02,2026-06-30,2026-07-16
2344,6,6918.56,1153.09,2025-12-22,2026-08-04
2368,6,6886.31,1147.72,2025-04-21,2026-07-24
2225,6,6858.77,1143.13,2026-02-04,2026-08-11
2206,5,6852.6,1370.52,2026-05-03,2026-07-25
2399,7,6850.87,978.7,2026-04-20,2026-07-17
2280,5,6624.02,1324.8,2026-05-10,2026-07-23
2305,9,6593.26,732.58,2026-01-26,2026-07-27
2349,5,6319.41,1263.88,2026-07-04,2026-08-06
2317,7,6265.13,895.02,2025-04-10,2026-08-04
2308,6,6243.53,1040.59,2025-01-13,2026-08-10
2202,6,6238.99,1039.83,2026-03-02,2026-07-30
2267,6,6219.87,1036.64,2026-03-15,2026-07-29
2220,5,6201.48,1240.3,2025-12-23,2026-07-20
2209,5,6157.06,1231.41,2025-10-10,2026-07-15
2247,5,6143.46,1228.69,2026-02-19,2026-07-25
2362,5,5984.01,1196.8,2025-11-01,2026-07-26
2339,9,5883.68,653.74,2025-01-10,2026-08-02
2285,5,5781.5,1156.3,2026-01-29,2026-07-16
2304,7,5685.6,812.23,2026-02-09,2026-07-26
2266,5,5628.47,1125.69,2025-11-28,2026-07-21
2395,6,5591.49,931.91,2026-04-26,2026-08-05
2283,6,5444.41,907.4,2025-01-13,2026-07-23
2376,5,5440.4,1088.08,2025-09-05,2026-07-25
2244,5,5330.64,1066.13,2025-12-12,2026-07-27
2377,5,5296.43,1059.29,2025-07-12,2026-08-09
2194,6,5193.88,865.65,2026-04-17,2026-08-05
2350,7,5185.21,740.74,2025-02-25,2026-08-07
2196,5,5119.8,1023.96,2025-07-05,2026-07-18
2210,5,5054.49,1010.9,2026-01-13,2026-08-09
