customer_id,customer_type,order_count,total_spent
1628,Startup,10,36848.86
1822,Enterprise,14,35114.05
1899,Enterprise,10,34724.23
1672,Startup,9,34193.11
1242,Startup,9,33648.89
1401,SMB,10,33254.01
1781,Startup,12,33233.55
1700,SMB,10,33050.36
1650,SMB,10,32937.81
1303,Startup,10,32524.76
1619,Startup,9,32179.9
1428,Startup,7,32014.63
1661,SMB,11,31447.49
1517,SMB,10,31027.02
1188,Startup,11,30925.17
1776,SMB,12,30893.93
1494,SMB,11,30870.1
1012,Startup,11,30840.93
1693,Startup,11,30815.44
1520,SMB,9,30719.84
1268,Startup,9,30184.23
1183,Startup,10,29538.02
1414,Startup,11,29504.62
1670,SMB,11,29363.46
1471,Enterprise,12,29288.41
1888,SMB,10,28876.24
1102,Startup,9,28504.53
1584,SMB,10,28374.18
1500,Startup,8,28054.56
1390,Startup,10,27999.98
1455,SMB,9,27938.54
1084,Enterprise,12,27936.69
1598,SMB,9,27803.84
1537,Startup,10,27743.6
1161,SMB,9,27288.33
1825,Startup,12,27190.47
1104,Startup,10,27159.5
1783,SMB,10,26900.5
1223,SMB,9,26805.97
1559,Startup,9,26520.14
1227,Startup,10,26338.51
1726,Startup,14,26314.72
1620,Startup,8,26263.16
1288,Startup,8,25926.26
1881,SMB,10,25898.48
1560,Startup,8,25698.55
1574,Startup,8,25683.56
1833,SMB,12,25333.37
1162,Startup,8,25324.55
1218,Startup,9,25090.41
1602,SMB,10,25038.92
1638,SMB,8,25014.7
1450,SMB,10,24926.77
1149,Enterprise,8,24902.14
1509,Startup,8,24784.04
1687,Startup,10,24759.26
1206,Enterprise,8,24741.7
1659,Startup,9,24705.92
1211,Startup,8,24674.64
1571,Startup,14,24629.97
1425,Enterprise,8,24540.0
1794,Startup,9,24514.6
1573,SMB,12,24237.69
1499,Startup,9,24112.45
1412,Startup,8,24078.96
1526,SMB,8,23973.35
1378,Enterprise,8,23927.74
1685,Startup,8,23897.22
1727,SMB,7,23841.78
1588,SMB,8,23778.86
1561,Startup,8,23750.88
1113,Startup,9,23745.9
1022,SMB,10,23597.82
1580,SMB,7,23579.67
1606,SMB,8,23578.09
1129,Enterprise,10,23283.3
1387,SMB,9,23251.88
1093,Startup,8,23225.86
1345,SMB,9,23160.4
1124,SMB,10,23121.0
1247,SMB,9,22916.28
1544,Startup,7,22912.46
1017,SMB,8,22911.32
1420,Startup,9,22887.92
1318,SMB,10,22841.83
1087,Startup,7,22825.81
1380,SMB,7,22781.23
1564,Enterprise,7,22732.0
1164,Startup,7,22720.89
1866,Startup,8,22644.73
1338,Startup,8,22620.93
1883,Enterprise,7,22500.64
1040,SMB,9,22497.68
1553,Startup,7,22473.77
1568,SMB,6,22434.5
1364,Startup,11,22413.86
1849,Startup,9,22357.56
1511,Startup,7,22322.58
1419,Startup,7,22304.06
1459,Enterprise,8,22280.08
1314,Startup,10,22250.21
1384,Startup,8,22159.88
1073,Enterprise,13,22150.96
1154,SMB,11,22148.93
1657,SMB,6,22089.02
1060,SMB,6,22060.07
1840,Startup,8,21908.95
1366,SMB,8,21868.56
1184,Startup,7,21843.38
1059,Enterprise,10,21809.24
1405,SMB,7,21782.57
1761,SMB,7,21677.5
1753,Startup,10,21646.13
1283,SMB,9,21620.36
1137,Startup,8,21546.55
1127,Startup,8,21520.06
1856,SMB,8,21515.98
1655,SMB,9,21387.49
1013,Startup,10,21354.49
1630,SMB,8,21347.77
1615,Startup,6,21275.35
1273,Startup,10,21262.63
1019,SMB,9,21159.77
1549,Startup,8,21088.39
1859,Startup,8,21082.6
1891,Startup,11,21061.03
1681,Startup,8,21033.99
1445,Startup,9,20885.38
1837,Startup,8,20846.33
1039,Startup,10,20808.39
1354,SMB,8,20733.89
1166,Startup,9,20727.71
1688,SMB,9,20717.81
1063,Startup,5,20671.31
1416,SMB,7,20641.37
1582,Startup,6,20640.0
1558,Enterprise,8,20614.91
1536,Startup,7,20591.96
1715,SMB,5,20585.11
1382,Startup,8,20482.56
1109,SMB,10,20318.1
1143,SMB,7,20295.17
1744,Startup,6,20291.84
1803,Startup,7,20288.46
1725,Startup,8,20062.57
1515,Enterprise,8,20007.85
1704,SMB,9,20004.91
1871,SMB,6,19971.46
1185,SMB,5,19848.21
1802,SMB,8,19830.48
1830,SMB,6,19812.7
1485,Startup,10,19790.51
1449,SMB,8,19742.46
1192,Startup,8,19692.02
1426,Startup,7,19642.91
1481,Startup,8,19601.09
1631,Startup,7,19589.38
1367,Startup,7,19584.1
1532,Startup,6,19560.15
1540,SMB,10,19554.86
1872,SMB,6,19478.8
1237,SMB,8,19451.07
1191,SMB,7,19401.6
1233,Startup,7,19331.02
1163,Startup,7,19270.36
1443,SMB,8,19269.23
1424,SMB,6,19222.46
1407,SMB,8,19212.3
1360,Startup,8,19190.51
1311,SMB,8,19177.41
1895,Startup,6,19163.24
1828,SMB,10,19150.93
1304,Startup,7,19124.22
1495,SMB,7,19090.78
1139,SMB,7,19058.23
1141,Startup,9,19045.34
1375,Enterprise,9,19025.19
1702,Enterprise,6,19003.75
1031,Startup,5,18993.4
1550,Startup,7,18976.24
1820,SMB,6,18929.48
1785,SMB,7,18906.79
1768,Startup,8,18883.69
1797,Startup,7,18850.9
1245,Enterprise,6,18828.15
1567,SMB,7,18818.79
1686,Startup,7,18811.07
1675,SMB,8,18799.8
1586,SMB,6,18788.4
1734,Startup,7,18730.86
1876,SMB,6,18688.82
1758,Startup,8,18585.4
1090,SMB,5,18574.05
1079,SMB,6,18511.83
1817,Startup,9,18461.0
1832,SMB,8,18408.27
1265,Startup,6,18404.14
1497,Startup,7,18400.17
