customer_id,customer_type,signup_date
1034,Startup,2023-09-20
1346,Startup,2024-07-28
1545,Startup,2025-02-12
1706,Startup,2025-07-23
1901,SMB,2026-02-03
1902,Enterprise,2026-02-04
1903,SMB,2026-02-05
1904,Startup,2026-02-06
1905,SMB,2026-02-07
1906,Startup,2026-02-08
1907,Startup,2026-02-09
1908,SMB,2026-02-10
1909,SMB,2026-02-11
1910,SMB,2026-02-12
1911,Startup,2026-02-13
1912,SMB,2026-02-14
1913,Startup,2026-02-15
1914,SMB,2026-02-16
1915,Startup,2026-02-17
1916,SMB,2026-02-18
1917,SMB,2026-02-19
1918,Startup,2026-02-20
1919,Startup,2026-02-21
1920,SMB,2026-02-22
1921,Startup,2026-02-23
1922,SMB,2026-02-24
1923,Startup,2026-02-25
1924,Startup,2026-02-26
1925,SMB,2026-02-27
1926,Enterprise,2026-02-28
1927,SMB,2026-03-01
1928,Startup,2026-03-02
1929,Startup,2026-03-03
1930,SMB,2026-03-04
1931,SMB,2026-03-05
1932,Startup,2026-03-06
1933,Startup,2026-03-07
1934,Startup,2026-03-08
1935,SMB,2026-03-09
1936,SMB,2026-03-10
1937,Enterprise,2026-03-11
1938,Startup,2026-03-12
1939,SMB,2026-03-13
1940,Startup,2026-03-14
1941,SMB,2026-03-15
1942,Startup,2026-03-16
1943,Startup,2026-03-17
1944,Startup,2026-03-18
1945,SMB,2026-03-19
1946,Enterprise,2026-03-20
1947,SMB,2026-03-21
1948,Startup,2026-03-22
1949,Startup,2026-03-23
1950,Startup,2026-03-24
1951,Startup,2026-03-25
1952,Startup,2026-03-26
1953,SMB,2026-03-27
1954,Startup,2026-03-28
1955,SMB,2026-03-29
1956,SMB,2026-03-30
1957,Startup,2026-03-31
1958,Enterprise,2026-04-01
1959,SMB,2026-04-02
1960,Startup,2026-04-03
1961,SMB,2026-04-04
1962,Startup,2026-04-05
1963,SMB,2026-04-06
1964,SMB,2026-04-07
1965,SMB,2026-04-08
1966,SMB,2026-04-09
1967,Startup,2026-04-10
1968,SMB,2026-04-11
1969,Startup,2026-04-12
1970,SMB,2026-04-13
1971,Startup,2026-04-14
1972,Startup,2026-04-15
1973,Startup,2026-04-16
1974,SMB,2026-04-17
1975,Enterprise,2026-04-18
1976,SMB,2026-04-19
1977,Startup,2026-04-20
1978,Enterprise,2026-04-21
1979,SMB,2026-04-22
1980,Startup,2026-04-23
1981,SMB,2026-04-24
1982,Startup,2026-04-25
1983,SMB,2026-04-26
1984,Enterprise,2026-04-27
1985,Startup,2026-04-28
1986,SMB,2026-04-29
1987,Startup,2026-04-30
1988,SMB,2026-05-01
1989,SMB,2026-05-02
1990,Startup,2026-05-03
1991,Startup,2026-05-04
1992,Startup,2026-05-05
1993,SMB,2026-05-06
1994,Startup,2026-05-07
1995,SMB,2026-05-08
1996,SMB,2026-05-09
1997,Startup,2026-05-10
1998,SMB,2026-05-11
1999,Startup,2026-05-12
2000,SMB,2026-05-13
